season,model week,location,target,type,entry,score,competition_week
2018/2019,MW42,US National,Season onset,Bin,Delphi-Epicast2,-1.0761113406853184,1
2018/2019,MW43,US National,Season onset,Bin,Delphi-Epicast2,-1.1017532553922986,2
2018/2019,MW44,US National,Season onset,Bin,Delphi-Epicast2,-1.2618886802959917,3
2018/2019,MW45,US National,Season onset,Bin,Delphi-Epicast2,-1.304665117086874,4
2018/2019,MW46,US National,Season onset,Bin,Delphi-Epicast2,-0.3413428432378919,5
2018/2019,MW47,US National,Season onset,Bin,Delphi-Epicast2,-1.3506517582516708,6
2018/2019,MW48,US National,Season onset,Bin,Delphi-Epicast2,-2.2095656102414947,7
2018/2019,MW49,US National,Season onset,Bin,Delphi-Epicast2,-1.2206989601890332,8
2018/2019,MW50,US National,Season onset,Bin,Delphi-Epicast2,-1.1308071231501349,9
2018/2019,MW51,US National,Season onset,Bin,Delphi-Epicast2,-1.1551421306095015,10
2018/2019,MW52,US National,Season onset,Bin,Delphi-Epicast2,-1.169468171347307,11
2018/2019,MW53,US National,Season onset,Bin,Delphi-Epicast2,-0.17569261762026794,12
2018/2019,MW54,US National,Season onset,Bin,Delphi-Epicast2,-0.16878525688841778,13
2018/2019,MW55,US National,Season onset,Bin,Delphi-Epicast2,-1.175278376162617,14
2018/2019,MW42,HHS Region 1,Season onset,Bin,Delphi-Epicast2,-0.9146025613339517,1
2018/2019,MW43,HHS Region 1,Season onset,Bin,Delphi-Epicast2,-1.129322499013793,2
2018/2019,MW44,HHS Region 1,Season onset,Bin,Delphi-Epicast2,-1.114158562866273,3
2018/2019,MW45,HHS Region 1,Season onset,Bin,Delphi-Epicast2,-1.1196431688748818,4
2018/2019,MW46,HHS Region 1,Season onset,Bin,Delphi-Epicast2,-0.7598941834604129,5
2018/2019,MW47,HHS Region 1,Season onset,Bin,Delphi-Epicast2,-0.48568430720413835,6
2018/2019,MW48,HHS Region 1,Season onset,Bin,Delphi-Epicast2,-0.3282232501405586,7
2018/2019,MW49,HHS Region 1,Season onset,Bin,Delphi-Epicast2,-0.0499352472907433,8
2018/2019,MW50,HHS Region 1,Season onset,Bin,Delphi-Epicast2,-0.013900609692848728,9
2018/2019,MW51,HHS Region 1,Season onset,Bin,Delphi-Epicast2,-0.039513052536009105,10
2018/2019,MW52,HHS Region 1,Season onset,Bin,Delphi-Epicast2,-0.0359226627291446,11
2018/2019,MW53,HHS Region 1,Season onset,Bin,Delphi-Epicast2,-0.029716279569379188,12
2018/2019,MW54,HHS Region 1,Season onset,Bin,Delphi-Epicast2,-0.009121427696246165,13
2018/2019,MW55,HHS Region 1,Season onset,Bin,Delphi-Epicast2,-0.07595399921749194,14
2018/2019,MW42,HHS Region 2,Season onset,Bin,Delphi-Epicast2,-1.1402666400467307,1
2018/2019,MW43,HHS Region 2,Season onset,Bin,Delphi-Epicast2,-1.5900653638353925,2
2018/2019,MW44,HHS Region 2,Season onset,Bin,Delphi-Epicast2,-1.0780630220463028,3
2018/2019,MW45,HHS Region 2,Season onset,Bin,Delphi-Epicast2,-1.0591362600908802,4
2018/2019,MW46,HHS Region 2,Season onset,Bin,Delphi-Epicast2,-1.7058027199123849,5
2018/2019,MW47,HHS Region 2,Season onset,Bin,Delphi-Epicast2,-1.1412339096271837,6
