season,model week,location,target,type,entry,score,competition_week
2018/2019,MW42,US National,Season onset,Bin,Delphi-Stat,-1.3730341356177025,1
2018/2019,MW43,US National,Season onset,Bin,Delphi-Stat,-1.6721220005836628,2
2018/2019,MW44,US National,Season onset,Bin,Delphi-Stat,-1.7122773957844926,3
2018/2019,MW45,US National,Season onset,Bin,Delphi-Stat,-1.3367406056921696,4
2018/2019,MW46,US National,Season onset,Bin,Delphi-Stat,-0.8468687186329968,5
2018/2019,MW47,US National,Season onset,Bin,Delphi-Stat,-1.779497446729928,6
2018/2019,MW48,US National,Season onset,Bin,Delphi-Stat,-2.0363665276714227,7
2018/2019,MW49,US National,Season onset,Bin,Delphi-Stat,-1.9207328301257351,8
2018/2019,MW50,US National,Season onset,Bin,Delphi-Stat,-1.8271060132196455,9
2018/2019,MW51,US National,Season onset,Bin,Delphi-Stat,-1.8520365365910112,10
2018/2019,MW52,US National,Season onset,Bin,Delphi-Stat,-1.7425093434581933,11
2018/2019,MW53,US National,Season onset,Bin,Delphi-Stat,-0.3257237112163973,12
2018/2019,MW54,US National,Season onset,Bin,Delphi-Stat,-1.4814281392482416,13
2018/2019,MW55,US National,Season onset,Bin,Delphi-Stat,-1.4998865083116537,14
2018/2019,MW42,HHS Region 1,Season onset,Bin,Delphi-Stat,-1.7350910938746615,1
2018/2019,MW43,HHS Region 1,Season onset,Bin,Delphi-Stat,-1.3960858331477426,2
2018/2019,MW44,HHS Region 1,Season onset,Bin,Delphi-Stat,-1.3006028972353085,3
2018/2019,MW45,HHS Region 1,Season onset,Bin,Delphi-Stat,-1.3172835184592215,4
2018/2019,MW46,HHS Region 1,Season onset,Bin,Delphi-Stat,-0.9353351509160198,5
2018/2019,MW47,HHS Region 1,Season onset,Bin,Delphi-Stat,-0.7872011301370603,6
2018/2019,MW48,HHS Region 1,Season onset,Bin,Delphi-Stat,-0.5643933619125657,7
2018/2019,MW49,HHS Region 1,Season onset,Bin,Delphi-Stat,-0.2728336022702213,8
2018/2019,MW50,HHS Region 1,Season onset,Bin,Delphi-Stat,-0.22873034303874565,9
2018/2019,MW51,HHS Region 1,Season onset,Bin,Delphi-Stat,-0.17251097505667753,10
2018/2019,MW52,HHS Region 1,Season onset,Bin,Delphi-Stat,-0.14971216413430857,11
2018/2019,MW53,HHS Region 1,Season onset,Bin,Delphi-Stat,-0.15219780569215147,12
2018/2019,MW54,HHS Region 1,Season onset,Bin,Delphi-Stat,-0.19335826654556507,13
2018/2019,MW55,HHS Region 1,Season onset,Bin,Delphi-Stat,-0.2212073428357772,14
2018/2019,MW42,HHS Region 2,Season onset,Bin,Delphi-Stat,-1.4925938088575297,1
2018/2019,MW43,HHS Region 2,Season onset,Bin,Delphi-Stat,-1.336664885125296,2
2018/2019,MW44,HHS Region 2,Season onset,Bin,Delphi-Stat,-1.4099702206399445,3
2018/2019,MW45,HHS Region 2,Season onset,Bin,Delphi-Stat,-1.2585502293492228,4
2018/2019,MW46,HHS Region 2,Season onset,Bin,Delphi-Stat,-2.1908741750537577,5
2018/2019,MW47,HHS Region 2,Season onset,Bin,Delphi-Stat,-1.3437862306546207,6
2018/2019,MW48,HHS Region 2,Season onset,Bin,Delphi-Stat,-0.8437444960891215,7
2018/2019,MW49,HHS Region 2,Season onset,Bin,Delphi-Stat,-0.4027412172861572,8
2018/2019,MW50,HHS Region 2,Season onset,Bin,Delphi-Stat,-0.37041783831198255,9
2018/2019,MW51,HHS Region 2,Season onset,Bin,Delphi-Stat,-0.14833592089679642,10
2018/2019,MW52,HHS Region 2,Season onset,Bin,Delphi-Stat,-0.10092378924731664,11
2018/2019,MW53,HHS Region 2,Season onset,Bin,Delphi-Stat,-0.0604564619068098,12
2018/2019,MW54,HHS Region 2,Season onset,Bin,Delphi-Stat,-0.058534361811743624,13
2018/2019,MW55,HHS Region 2,Season onset,Bin,Delphi-Stat,-0.05095732567673699,14
2018/2019,MW42,HHS Region 3,Season onset,Bin,Delphi-Stat,-1.181067040569355,1
2018/2019,MW43,HHS Region 3,Season onset,Bin,Delphi-Stat,-1.1958150947977932,2
2018/2019,MW44,HHS Region 3,Season onset,Bin,Delphi-Stat,-1.3453009467956676,3
2018/2019,MW45,HHS Region 3,Season onset,Bin,Delphi-Stat,-1.0688594895463195,4
2018/2019,MW46,HHS Region 3,Season onset,Bin,Delphi-Stat,-0.951812254899413,5
2018/2019,MW47,HHS Region 3,Season onset,Bin,Delphi-Stat,-0.8792953450063988,6
2018/2019,MW48,HHS Region 3,Season onset,Bin,Delphi-Stat,-0.4982715635095519,7
2018/2019,MW49,HHS Region 3,Season onset,Bin,Delphi-Stat,-0.5019945643413964,8
2018/2019,MW50,HHS Region 3,Season onset,Bin,Delphi-Stat,-0.3642999197288251,9
2018/2019,MW51,HHS Region 3,Season onset,Bin,Delphi-Stat,-0.04991034065896346,10
2018/2019,MW52,HHS Region 3,Season onset,Bin,Delphi-Stat,-0.04958455915771897,11
2018/2019,MW53,HHS Region 3,Season onset,Bin,Delphi-Stat,-0.04983595726616032,12
2018/2019,MW54,HHS Region 3,Season onset,Bin,Delphi-Stat,-0.05359492525417944,13
2018/2019,MW55,HHS Region 3,Season onset,Bin,Delphi-Stat,-0.05170370897514984,14
2018/2019,MW56,HHS Region 3,Season onset,Bin,Delphi-Stat,-0.04969271710144649,15
2018/2019,MW42,HHS Region 4,Season onset,Bin,Delphi-Stat,-1.0380696187610283,1
2018/2019,MW43,HHS Region 4,Season onset,Bin,Delphi-Stat,-1.0414548606019711,2
2018/2019,MW44,HHS Region 4,Season onset,Bin,Delphi-Stat,-0.7419919221257159,3
2018/2019,MW45,HHS Region 4,Season onset,Bin,Delphi-Stat,-0.6233463335540335,4
2018/2019,MW46,HHS Region 4,Season onset,Bin,Delphi-Stat,-0.4772264370999147,5
2018/2019,MW47,HHS Region 4,Season onset,Bin,Delphi-Stat,-0.4340444835667067,6
2018/2019,MW48,HHS Region 4,Season onset,Bin,Delphi-Stat,-0.5246142900370784,7
2018/2019,MW49,HHS Region 4,Season onset,Bin,Delphi-Stat,-0.29977083334470417,8
2018/2019,MW50,HHS Region 4,Season onset,Bin,Delphi-Stat,-0.31311283124729705,9
2018/2019,MW51,HHS Region 4,Season onset,Bin,Delphi-Stat,-0.3759449780485705,10
2018/2019,MW52,HHS Region 4,Season onset,Bin,Delphi-Stat,-0.3706732275486206,11
